,missing_fraction
Post_ID,0.0
Comments,0.0
Hour,0.0
Weekday,0.0
Week,0.0
Month,0.0
Year,0.0
Engagement_Level,0.0
Shares,0.0
Post_Date,0.0
Likes,0.0
Views,0.0
Region,0.0
Content_Type,0.0
Hashtag,0.0
Platform,0.0
Engagement_Rate,0.0
